name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y
chair,0,0,,"middle, chair, beige",,,25-Jul-2019 09:22:55,0,A1Q995BGGPBDMB,1482,2499,1592,2483,1600,2617,1703,2688,1750,2877,1616,2870,1506,2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,"right side, large, green",,,25-Jul-2019 09:24:24,1,A1Q995BGGPBDMB,2877,244,2775,347,2720,339,2665,402,2601,497,2554,583,2428,646,2365,717,2397,765,2436,820,2357,875,2349,914,2215,1025,2215,1025,2270,1033,2207,1096,2144,1119,2239,1119,2128,1175,2294,1159,2239,1230,2318,1198,2302,1261,2404,1253,2357,1309,2452,1238,2436,1332,2554,1293,2381,1356,2467,1435,2601,1332,2633,1419,2665,1340,2735,1458,2822,1364,2862,1435,2822,2239,2791,2326,2822,2349,2877,2373
star,0,0,,"small, top right corner, yellow, white",,,25-Jul-2019 09:24:54,2,A1Q995BGGPBDMB,2010,142,2089,95,2128,166,2089,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,1,0,,"round, middle, white",,,25-Jul-2019 09:25:42,3,A1Q995BGGPBDMB,1175,2633,1261,2822,1206,2917,1419,2925,1443,2885,1340,2806,1419,2688,1458,2617,1458,2601,1301,2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"round, middle, white",,,25-Jul-2019 09:26:25,4,A1Q995BGGPBDMB,1190,2940,1411,2948,1419,2862,1324,2791,1427,2688,1466,2586,1253,2554,1135,2586,1104,2617,1246,2767,1277,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arch,0,0,,"left, large, silver, arch",,,25-Jul-2019 09:27:15,5,A1Q995BGGPBDMB,8,1332,126,1372,158,3122,323,3208,465,3082,418,1332,441,1277,520,1222,528,1104,8,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"left side,small, white",,,25-Jul-2019 09:42:07,6,A35Q0ZG3C7ZFP,637,2607,751,2557,791,2582,791,2597,746,2642,781,2661,766,2736,766,2781,786,2801,786,2880,786,2880,786,2880,786,2880,801,2890,677,2890,657,2791,706,2696,662,2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"dining chair,brown,near table",,,25-Jul-2019 09:43:52,7,A35Q0ZG3C7ZFP,915,2607,980,2577,1040,2577,1065,2567,1075,2602,1080,2701,1154,2781,1184,2910,1075,2985,1045,2791,990,2791,995,2920,935,2661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,0,0,,"center,yellow,near table",,,25-Jul-2019 09:45:10,8,A35Q0ZG3C7ZFP,1802,2099,1847,2080,1862,2114,1885,2159,1896,2208,1885,2268,1881,2325,1832,2336,1806,2328,1806,2283,1768,2216,1768,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"right,brown,near table",,,25-Jul-2019 09:46:51,9,A35Q0ZG3C7ZFP,1712,2460,1757,2419,1813,2505,1918,2577,1967,2690,1911,2772,1862,2659,1813,2629,1802,2693,1764,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
