name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y,polygon/pt/62/x,polygon/pt/62/y,polygon/pt/63/x,polygon/pt/63/y,polygon/pt/64/x,polygon/pt/64/y,polygon/pt/65/x,polygon/pt/65/y,polygon/pt/66/x,polygon/pt/66/y,polygon/pt/67/x,polygon/pt/67/y,polygon/pt/68/x,polygon/pt/68/y,polygon/pt/69/x,polygon/pt/69/y,polygon/pt/70/x,polygon/pt/70/y,polygon/pt/71/x,polygon/pt/71/y,polygon/pt/72/x,polygon/pt/72/y,polygon/pt/73/x,polygon/pt/73/y,polygon/pt/74/x,polygon/pt/74/y,polygon/pt/75/x,polygon/pt/75/y,polygon/pt/76/x,polygon/pt/76/y,polygon/pt/77/x,polygon/pt/77/y,polygon/pt/78/x,polygon/pt/78/y,polygon/pt/79/x,polygon/pt/79/y,polygon/pt/80/x,polygon/pt/80/y,polygon/pt/81/x,polygon/pt/81/y,polygon/pt/82/x,polygon/pt/82/y,polygon/pt/83/x,polygon/pt/83/y,polygon/pt/84/x,polygon/pt/84/y,polygon/pt/85/x,polygon/pt/85/y,polygon/pt/86/x,polygon/pt/86/y,polygon/pt/87/x,polygon/pt/87/y,polygon/pt/88/x,polygon/pt/88/y,polygon/pt/89/x,polygon/pt/89/y,polygon/pt/90/x,polygon/pt/90/y,polygon/pt/91/x,polygon/pt/91/y,polygon/pt/92/x,polygon/pt/92/y,polygon/pt/93/x,polygon/pt/93/y,polygon/pt/94/x,polygon/pt/94/y,polygon/pt/95/x,polygon/pt/95/y
tree,0,0,,"city, dark, large, triangular, smooth",,,2019-07-25 9:08,0,A2HC04434S9TP0,5082,8767,5206,8480,5192,8151,5014,7849,4753,7740,4521,7425,4425,7247,4699,7069,4890,6836,4589,7014,4356,7123,4301,6877,4096,6603,4027,6219,3726,6041,3658,5932,3534,5795,3342,5480,3356,5219,3315,4973,3219,5110,3151,5343,3178,5740,3096,6123,3178,6288,3055,6123,2986,5932,3014,5740,3027,5493,3000,5192,2986,5069,2904,5260,2918,5548,2918,5603,2918,5603,2685,5110,2685,4658,2671,4493,2685,4384,2890,4247,3014,4192,3014,4137,2945,4041,2781,4206,2685,4260,2685,3986,2699,3740,2699,3712,2658,3685,2603,3671,2603,3671,2562,3671,2479,2658,2219,2151,2301,1014,2260,507,2178,329,2123,562,2055,808,2041,945,2000,1411,1959,1932,2041,2342,2069,2562,2041,2863,1945,2836,1973,3206,1945,3384,1795,3370,1795,3069,1795,2890,1699,2699,1712,2589,1616,2658,1644,3055,1603,3219,1603,3425,1671,3658,1685,3808,1685,4123,1658,4438,1630,4644,1562,4932,1534,5315,1534,5781,1644,6110,1644,6247,1616,6589,1548,6863,1411,7247,1370,7644,1438,8069,1644,8301,1808,8452,1959,8740,7466,8726
sun,0,0,,"sky, orange, yellow, medium, circle, no texture",,,2019-07-25 9:10,1,A2HC04434S9TP0,10151,986,9740,1082,9548,1356,9548,1644,9603,1712,9685,2082,9945,2082,10343,2082,10507,2000,10534,1753,10589,1425,10575,1288,10397,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church,0,0,,"city, grey, small, triangle, smooth",,,2019-07-25 9:11,2,A2HC04434S9TP0,6219,6959,6288,6493,6288,5616,6438,6945,6548,7069,6562,7274,6452,7137,6370,7123,6260,7164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"city, grey, small, triangles, two visible windows, smooth",,,2019-07-25 9:12,3,A2HC04434S9TP0,5658,7452,5863,7096,5973,7055,6069,7206,6192,7233,6329,7260,6507,7356,6658,7507,6644,7712,6521,7767,6384,7767,6151,7767,6137,7795,6110,7699,5918,7658,5808,7644,5658,7617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountain,0,0,,"city, dark green, small, round shape",,,2019-07-25 9:14,4,A2HC04434S9TP0,41,6384,397,6370,630,6589,849,6712,1123,6712,808,6863,329,6918,151,7000,55,7000,14,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trees,0,0,,"city, green, medium-large, circular shape, smooth",,,2019-07-25 9:15,5,A2HC04434S9TP0,11096,6288,10904,6356,10617,6192,10575,6329,10411,6411,10151,6548,10123,6562,9986,6343,9740,6343,9466,6397,9343,6397,8904,6397,8890,6397,8740,6301,8589,6397,8247,6356,7836,6301,7836,6521,7685,6617,7384,6685,7288,6671,6904,6671,6644,6658,6493,6685,6534,6890,6644,6973,6795,7123,7164,7164,7397,6973,7795,6918,8260,7014,8438,7041,8658,7110,8685,7288,8712,7370,9110,7480,9384,7548,9548,7644,9945,7644,9986,7411,10370,7466,11028,7411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"light, heat, sun, space, night",,,2019-07-25 9:56,6,A1CJ8CLM7987EQ,8015,1686,8228,2066,8240,2339,7908,2517,7587,2351,7385,1935,7385,1852,7611,1698,7813,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"light, sun, star, heat, night",,,2019-07-25 9:56,7,A1CJ8CLM7987EQ,4156,4120,4417,4441,4595,4880,4346,5189,3906,5296,3526,5236,3313,4702,3431,4405,3574,4179,3823,4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,0,0,,"breeze, wind, gust",,,2019-07-25 9:56,8,A1CJ8CLM7987EQ,7421,4132,7635,4405,7884,4417,7860,3835,7492,3788,6946,4001,6400,4441,5723,4607,4773,4144,4963,3420,4951,3028,5949,3515,6578,3538,7207,3170,8205,3135,8585,3562,8691,4120,8264,4761,7706,4785,7029,4393,7124,4013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"dwelling, home, house, sleep",,,2019-07-25 9:57,9,A1CJ8CLM7987EQ,7528,8775,7837,8371,8406,8347,8668,8359,8858,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
