name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y
cameo,0,0,,"necklace, brown/white, little, oval",,,25-Jul-2019 09:08:01,0,AIN29LNXRARXY,1321,3300,1250,3400,1236,3479,1314,3564,1364,3536,1407,3450,1407,3393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasses,0,0,,"face, gray, normal size, round, metal/glass",,,25-Jul-2019 09:09:13,1,AIN29LNXRARXY,2907,1329,3071,1493,3136,1386,3221,1364,3329,1364,3400,1436,3543,1436,3586,1364,3743,1343,3821,1329,3929,1429,4021,1300,3893,1500,3829,1571,3693,1607,3571,1564,3536,1464,3414,1464,3357,1600,3214,1664,3150,1629,3064,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woman,0,0,,"left side, middle age, white, farmer, severe, stand up",,,25-Jul-2019 09:10:32,2,AIN29LNXRARXY,14,3693,479,3407,850,3007,879,2500,679,2229,636,1743,793,1421,1043,1214,1314,1207,1514,1243,1671,1457,1757,1793,1779,2036,1714,2321,1564,2586,1543,2743,1564,2971,1729,3179,1936,3343,1743,4379,1521,4871,1600,5279,1886,5993,14,5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,1,0,,"right side, white, middle age, male, rural clothes, severe, stand up",,,25-Jul-2019 09:12:05,3,AIN29LNXRARXY,1921,5979,1614,5286,1529,4864,1771,4386,1964,3357,2257,2707,3000,2421,3164,2293,3171,2064,3043,1729,2900,1657,2829,1464,2779,1343,2864,1329,2950,921,3193,671,3464,564,3679,593,3821,679,3957,793,4043,1007,4057,1207,4071,1271,4157,1271,4164,1371,4136,1536,4093,1650,4007,1721,3986,1921,3907,2079,3929,2257,4050,2379,4200,2479,4450,2564,4650,2579,4807,2721,4943,2764,4964,5986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"top center, glass/wood, narrow/tall size, front of the house, attic, ogive",,,25-Jul-2019 09:20:10,4,AIN29LNXRARXY,1993,1586,2421,1571,2386,921,2207,607,2014,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woman,0,0,,"left side, portrait, female, white, severe, rural clothes, stand up",,,25-Jul-2019 09:23:41,5,AIN29LNXRARXY,14,3707,700,3193,850,2971,893,2521,686,2243,671,1779,786,1371,1021,1214,1243,1193,1486,1250,1621,1371,1736,1693,1786,2043,1729,2257,1643,2471,1564,2643,1543,2829,1564,2979,1679,3100,1814,3286,1950,3350,1779,4371,1507,4864,1607,5279,1907,5986,0,5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overalls,0,0,,"dungarees, overalls, denim",,,25-Jul-2019 10:01:02,6,A1CJ8CLM7987EQ,3884,3432,3149,3480,3166,5233,3109,5871,3125,5952,4127,5976,3844,4555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shirt,0,0,,"white, blue, buttons",,,25-Jul-2019 10:01:14,7,A1CJ8CLM7987EQ,3949,2802,3925,3456,3166,3480,3166,2471,3553,2633,3787,2568,3900,2350,3997,2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacket,0,0,,"black, long sleeves, thick",,,25-Jul-2019 10:01:31,8,A1CJ8CLM7987EQ,3933,2261,4902,2729,4966,2988,4950,5968,4135,5960,3868,4571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar,0,0,,"white, shirt, stiff",,,25-Jul-2019 10:01:44,9,A1CJ8CLM7987EQ,1292,3262,1058,3480,759,3222,824,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
