,image,category
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,2
20,1,2
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,2
36,1,2
37,1,2
38,1,3
39,1,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,3
45,1,3
46,1,3
47,1,3
48,1,3
49,1,3
50,1,3
51,1,3
52,1,3
53,1,3
54,1,3
55,1,3
56,1,3
57,1,3
58,1,3
59,1,3
60,1,3
61,1,3
62,1,3
63,1,4
64,1,4
65,1,4
66,2,1
67,2,1
68,2,1
69,2,1
70,2,1
71,2,1
72,2,1
73,2,1
74,2,1
75,2,1
76,2,1
77,2,1
78,2,1
79,2,1
80,2,1
81,2,1
82,2,1
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,3
107,2,3
108,2,3
109,2,3
110,2,3
111,2,3
112,2,3
113,2,3
114,2,3
115,2,3
116,2,4
117,3,1
118,3,1
119,3,1
120,3,1
121,3,1
122,3,1
123,3,1
124,3,1
125,3,1
126,3,1
127,3,1
128,3,1
129,3,1
130,3,1
131,3,1
132,3,1
133,3,1
134,3,1
135,3,1
136,3,1
137,3,1
138,3,1
139,3,1
140,3,1
141,3,1
142,3,1
143,3,1
144,3,1
145,3,1
146,3,1
147,3,1
148,3,1
149,3,1
150,3,1
151,3,1
152,3,1
153,3,2
154,3,2
155,3,2
156,3,2
157,3,2
158,3,2
159,3,2
160,3,2
161,3,2
162,3,2
163,3,2
164,3,2
165,3,2
166,3,2
167,3,2
168,3,2
169,3,2
170,3,2
171,3,2
172,3,2
173,3,2
174,3,2
175,3,2
176,3,2
177,3,2
178,3,2
179,3,2
180,3,2
181,3,2
182,3,2
183,3,2
184,3,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,2
190,3,2
191,3,2
192,3,2
193,3,2
194,3,3
195,3,3
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,3
202,3,3
203,3,3
204,3,3
205,3,3
206,3,3
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,3,3
213,3,3
214,3,3
215,3,3
216,3,3
217,3,3
218,3,3
219,3,3
220,3,3
221,3,3
222,3,3
223,3,3
224,3,3
225,3,3
226,3,3
227,3,3
228,3,3
229,3,3
230,3,3
231,3,3
232,3,3
233,3,3
234,3,3
235,3,3
236,3,3
237,3,3
238,3,3
239,3,3
240,3,3
241,3,3
242,3,3
243,3,4
244,3,4
245,3,4
246,3,4
247,3,4
248,3,4
249,3,4
250,3,4
251,3,4
252,3,4
253,3,4
254,3,4
255,3,4
256,3,4
257,3,4
258,3,4
259,3,4
260,4,1
261,4,1
262,4,1
263,4,1
264,4,1
265,4,1
266,4,1
267,4,1
268,4,1
269,4,1
270,4,1
271,4,1
272,4,1
273,4,1
274,4,1
275,4,1
276,4,2
277,4,2
278,4,2
279,4,2
280,4,2
281,4,2
282,4,2
283,4,2
284,4,2
285,4,2
286,4,2
287,4,2
288,4,2
289,4,2
290,4,2
291,4,2
292,4,2
293,4,2
294,4,2
295,4,2
296,4,2
297,4,2
298,4,2
299,4,2
300,4,2
301,4,2
302,4,2
303,4,2
304,4,2
305,4,2
306,4,2
307,4,2
308,4,2
309,4,2
310,4,2
311,4,2
312,4,2
313,4,3
314,4,3
315,4,3
316,4,3
317,4,3
318,4,3
319,4,3
320,4,3
321,4,3
322,4,3
323,4,3
324,4,3
325,4,3
326,4,3
327,4,3
328,4,3
329,4,3
330,4,3
331,4,3
332,4,3
333,4,3
334,4,3
335,4,3
336,4,3
337,4,3
338,4,3
339,4,3
340,4,3
341,4,3
342,4,3
343,4,3
344,4,3
345,4,3
346,4,3
347,4,4
348,4,4
349,4,4
350,4,4
351,4,4
352,4,4
353,4,4
354,4,4
355,4,4
356,5,1
357,5,1
358,5,1
359,5,1
360,5,1
361,5,1
362,5,1
363,5,1
364,5,1
365,5,1
366,5,1
367,5,1
368,5,1
369,5,1
370,5,2
371,5,2
372,5,2
373,5,2
374,5,2
375,5,2
376,5,2
377,5,2
378,5,2
379,5,2
380,5,2
381,5,2
382,5,2
383,5,2
384,5,2
385,5,2
386,5,2
387,5,2
388,5,2
389,5,2
390,5,2
391,5,2
392,5,2
393,5,2
394,5,2
395,5,3
396,5,3
397,5,3
398,5,3
399,5,3
400,5,3
401,5,3
402,5,3
403,5,3
404,5,3
405,5,3
406,5,3
407,5,3
408,5,3
409,5,3
410,5,3
411,5,3
412,5,3
413,5,3
414,5,3
415,5,3
416,5,4
417,5,4
418,5,4
419,5,4
420,6,1
421,6,1
422,6,1
423,6,1
424,6,1
425,6,1
426,6,1
427,6,1
428,6,1
429,6,1
430,6,1
431,6,1
432,6,1
433,6,1
434,6,1
435,6,1
436,6,1
437,6,1
438,6,1
439,6,1
440,6,1
441,6,1
442,6,1
443,6,1
444,6,1
445,6,1
446,6,1
447,6,1
448,6,1
449,6,1
450,6,1
451,6,1
452,6,1
453,6,1
454,6,1
455,6,1
456,6,1
457,6,1
458,6,2
459,6,2
460,6,2
461,6,2
462,6,2
463,6,2
464,6,2
465,6,2
466,6,2
467,6,2
468,6,2
469,6,2
470,6,2
471,6,2
472,6,2
473,6,2
474,6,2
475,6,2
476,6,2
477,6,2
478,6,2
479,6,2
480,6,2
481,6,2
482,6,2
483,6,2
484,6,2
485,6,2
486,6,2
487,6,2
488,6,2
489,6,2
490,6,2
491,6,2
492,6,2
493,6,2
494,6,2
495,6,2
496,6,3
497,6,3
498,6,3
499,6,3
500,6,3
501,6,3
502,6,3
503,6,3
504,6,3
505,6,3
506,6,3
507,6,3
508,6,3
509,6,3
510,6,3
511,6,3
512,6,3
513,6,3
514,6,4
515,6,4
516,6,4
517,6,4
518,6,4
519,6,4
520,6,4
521,6,4
522,6,4
523,6,4
524,6,4
525,6,4
526,7,1
527,7,1
528,7,1
529,7,1
530,7,1
531,7,1
532,7,1
533,7,1
534,7,1
535,7,1
536,7,1
537,7,1
538,7,1
539,7,1
540,7,1
541,7,1
542,7,1
543,7,1
544,7,1
545,7,1
546,7,1
547,7,1
548,7,1
549,7,1
550,7,1
551,7,1
552,7,1
553,7,1
554,7,1
555,7,1
556,7,1
557,7,1
558,7,1
559,7,1
560,7,1
561,7,1
562,7,1
563,7,1
564,7,1
565,7,1
566,7,1
567,7,1
568,7,1
569,7,1
570,7,1
571,7,1
572,7,1
573,7,1
574,7,1
575,7,1
576,7,1
577,7,1
578,7,1
579,7,2
580,7,2
581,7,2
582,7,2
583,7,2
584,7,2
585,7,2
586,7,2
587,7,2
588,7,2
589,7,2
590,7,2
591,7,2
592,7,2
593,7,2
594,7,2
595,7,2
596,7,2
597,7,2
598,7,2
599,7,2
600,7,2
601,7,2
602,7,2
603,7,3
604,7,3
605,7,3
606,7,3
607,7,3
608,7,3
609,7,3
610,7,3
611,7,3
612,7,3
613,7,3
614,7,3
615,7,3
616,7,4
617,7,4
618,7,4
619,7,4
620,7,4
621,7,4
622,7,4
623,7,4
624,7,4
625,7,4
626,7,4
627,7,4
628,7,4
629,7,4
630,7,4
631,7,4
632,7,4
633,7,4
634,7,4
635,7,4
636,7,4
637,7,4
638,8,1
639,8,1
640,8,1
641,8,1
642,8,1
643,8,1
644,8,1
645,8,1
646,8,1
647,8,1
648,8,1
649,8,1
650,8,1
651,8,1
652,8,1
653,8,1
654,8,1
655,8,1
656,8,1
657,8,1
658,8,1
659,8,1
660,8,1
661,8,1
662,8,1
663,8,1
664,8,1
665,8,1
666,8,1
667,8,1
668,8,1
669,8,1
670,8,1
671,8,1
672,8,1
673,8,1
674,8,1
675,8,1
676,8,1
677,8,1
678,8,2
679,8,2
680,8,2
681,8,2
682,8,2
683,8,2
684,8,2
685,8,2
686,8,2
687,8,2
688,8,2
689,8,2
690,8,2
691,8,2
692,8,2
693,8,2
694,8,2
695,8,2
696,8,2
697,8,3
698,8,3
699,8,3
700,8,3
701,8,3
702,8,3
703,8,3
704,8,3
705,8,4
706,8,4
707,8,4
708,8,4
709,8,4
710,8,4
711,8,4
712,8,4
713,8,4
714,8,4
715,8,4
716,8,4
717,8,4
718,8,4
