,image,category
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,2
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,1,3
12,1,3
13,1,3
14,1,3
15,1,3
16,1,3
17,1,3
18,1,3
19,1,4
20,1,4
21,1,5
22,1,5
23,1,5
24,1,5
25,1,5
26,1,5
27,1,5
28,1,5
29,1,5
30,1,5
31,1,5
32,1,5
33,1,5
34,1,5
35,1,5
36,1,5
37,1,5
38,1,5
39,1,5
40,1,5
41,1,5
42,1,5
43,1,5
44,1,5
45,1,5
46,1,5
47,1,5
48,1,5
49,1,5
50,1,5
51,1,5
52,1,5
53,1,5
54,1,5
55,1,5
56,1,5
57,1,5
58,1,5
59,1,5
60,1,5
61,1,5
62,1,5
63,1,5
64,1,5
65,1,5
66,1,5
67,1,5
68,1,5
69,1,5
70,1,5
71,1,5
72,1,5
73,1,5
74,1,5
75,1,5
76,1,5
77,1,5
78,1,5
79,1,5
80,1,5
81,1,6
82,1,6
83,1,6
84,1,6
85,1,7
86,1,7
87,1,7
88,1,7
89,1,7
90,1,7
91,1,7
92,1,7
93,1,7
94,1,7
95,1,7
96,1,7
97,1,7
98,1,7
99,1,7
100,1,7
101,1,7
102,1,7
103,1,7
104,1,7
105,1,7
106,1,7
107,1,7
108,1,7
109,1,8
110,1,8
111,1,9
112,1,9
113,1,9
114,1,9
115,1,9
116,1,9
117,1,9
118,1,9
119,1,9
120,1,9
121,1,9
122,1,9
123,1,9
124,1,9
125,1,9
126,1,9
127,1,9
128,1,9
129,1,9
130,1,9
131,1,9
132,1,9
133,1,9
134,1,9
135,1,10
136,1,10
137,1,10
138,1,10
139,1,10
140,1,10
141,1,10
142,1,10
143,1,10
144,1,10
145,1,10
146,1,10
147,1,10
148,1,10
149,1,10
150,1,10
151,2,1
152,2,1
153,2,1
154,2,1
155,2,1
156,2,1
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,3
164,2,3
165,2,3
166,2,3
167,2,3
168,2,4
169,2,4
170,2,4
171,2,4
172,2,4
173,2,4
174,2,4
175,2,4
176,2,4
177,2,4
178,2,5
179,2,5
180,2,5
181,2,5
182,2,5
183,2,5
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,5
190,2,5
191,2,5
192,2,5
193,2,5
194,2,5
195,2,5
196,2,5
197,2,5
198,2,5
199,2,5
200,2,5
201,2,5
202,2,6
203,2,6
204,2,6
205,2,6
206,2,7
207,2,7
208,2,7
209,2,7
210,2,7
211,2,7
212,2,7
213,2,7
214,2,7
215,2,7
216,2,7
217,2,7
218,2,7
219,2,7
220,2,7
221,2,8
222,2,9
223,2,9
224,2,9
225,2,9
226,2,9
227,2,9
228,2,9
229,2,9
230,2,9
231,2,9
232,2,9
233,2,9
234,2,9
235,2,9
236,2,9
237,2,9
238,2,9
239,2,9
240,2,9
241,2,9
242,2,9
243,2,9
244,2,9
245,2,9
246,2,9
247,2,9
248,2,9
249,2,9
250,2,9
251,2,10
252,2,10
253,2,10
254,2,10
255,2,10
256,3,1
257,3,1
258,3,2
259,3,2
260,3,2
261,3,2
262,3,2
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,3,2
269,3,2
270,3,2
271,3,2
272,3,2
273,3,3
274,3,3
275,3,3
276,3,3
277,3,3
278,3,3
279,3,3
280,3,3
281,3,3
282,3,3
283,3,3
284,3,3
285,3,3
286,3,3
287,3,3
288,3,4
289,3,4
290,3,5
291,3,5
292,3,5
293,3,5
294,3,5
295,3,5
296,3,5
297,3,5
298,3,5
299,3,5
300,3,5
301,3,5
302,3,5
303,3,5
304,3,5
305,3,5
306,3,5
307,3,5
308,3,5
309,3,5
310,3,5
311,3,5
312,3,5
313,3,5
314,3,5
315,3,5
316,3,5
317,3,5
318,3,5
319,3,5
320,3,5
321,3,5
322,3,5
323,3,5
324,3,5
325,3,5
326,3,5
327,3,5
328,3,5
329,3,5
330,3,5
331,3,5
332,3,5
333,3,5
334,3,5
335,3,5
336,3,5
337,3,5
338,3,5
339,3,5
340,3,5
341,3,5
342,3,5
343,3,5
344,3,5
345,3,5
346,3,5
347,3,5
348,3,5
349,3,5
350,3,5
351,3,5
352,3,5
353,3,5
354,3,5
355,3,5
356,3,6
357,3,6
358,3,6
359,3,7
360,3,7
361,3,7
362,3,7
363,3,7
364,3,7
365,3,7
366,3,7
367,3,7
368,3,7
369,3,7
370,3,7
371,3,7
372,3,7
373,3,7
374,3,7
375,3,7
376,3,7
377,3,7
378,3,7
379,3,7
380,3,7
381,3,7
382,3,7
383,3,8
384,3,8
385,3,8
386,3,9
387,3,9
388,3,9
389,3,9
390,3,9
391,3,9
392,3,9
393,3,9
394,3,9
395,3,9
396,3,9
397,3,9
398,3,9
399,3,9
400,3,9
401,3,9
402,3,9
403,3,9
404,3,9
405,3,9
406,3,9
407,3,9
408,3,9
409,3,9
410,3,9
411,3,9
412,3,9
413,3,9
414,3,10
415,3,10
416,3,10
417,3,10
418,3,10
419,3,10
420,3,10
421,3,10
422,3,10
423,3,10
424,3,10
425,3,10
426,3,10
427,3,10
428,3,10
429,3,10
430,3,10
431,3,10
432,3,10
433,3,10
434,3,10
435,3,10
436,3,10
437,4,1
438,4,1
439,4,1
440,4,1
441,4,1
442,4,1
443,4,1
444,4,1
445,4,1
446,4,1
447,4,1
448,4,2
449,4,2
450,4,2
451,4,2
452,4,2
453,4,2
454,4,2
455,4,2
456,4,2
457,4,2
458,4,2
459,4,2
460,4,2
461,4,2
462,4,3
463,4,3
464,4,3
465,4,3
466,4,3
467,4,3
468,4,3
469,4,3
470,4,3
471,4,3
472,4,3
473,4,3
474,4,3
475,4,3
476,4,3
477,4,3
478,4,3
479,4,3
480,4,3
481,4,3
482,4,3
483,4,3
484,4,3
485,4,3
486,4,3
487,4,3
488,4,3
489,4,3
490,4,3
491,4,3
492,4,3
493,4,3
494,4,3
495,4,3
496,4,3
497,4,4
498,4,4
499,4,4
500,4,4
501,4,4
502,4,4
503,4,4
504,4,4
505,4,4
506,4,4
507,4,4
508,4,4
509,4,4
510,4,4
511,4,4
512,4,5
513,4,5
514,4,5
515,4,5
516,4,5
517,4,5
518,4,5
519,4,5
520,4,5
521,4,5
522,4,5
523,4,5
524,4,5
525,4,5
526,4,5
527,4,5
528,4,5
529,4,5
530,4,5
531,4,5
532,4,5
533,4,5
534,4,5
535,4,5
536,4,5
537,4,5
538,4,5
539,4,5
540,4,5
541,4,5
542,4,5
543,4,5
544,4,5
545,4,5
546,4,5
547,4,5
548,4,5
549,4,5
550,4,5
551,4,5
552,4,5
553,4,5
554,4,5
555,4,5
556,4,5
557,4,5
558,4,5
559,4,5
560,4,5
561,4,5
562,4,5
563,4,5
564,4,5
565,4,5
566,4,5
567,4,5
568,4,5
569,4,5
570,4,5
571,4,5
572,4,5
573,4,5
574,4,5
575,4,5
576,4,6
577,4,6
578,4,6
579,4,6
580,4,6
581,4,6
582,4,6
583,4,6
584,4,6
585,4,6
586,4,7
587,4,7
588,4,7
589,4,7
590,4,7
591,4,7
592,4,7
593,4,7
594,4,7
595,4,7
596,4,7
597,4,7
598,4,7
599,4,7
600,4,7
601,4,7
602,4,7
603,4,7
604,4,7
605,4,7
606,4,7
607,4,7
608,4,7
609,4,7
610,4,7
611,4,7
612,4,7
613,4,8
614,4,8
615,4,8
616,4,8
617,4,8
618,4,8
619,4,8
620,4,8
621,4,8
622,4,9
623,4,9
624,4,9
625,4,9
626,4,9
627,4,9
628,4,9
629,4,9
630,4,9
631,4,9
632,4,9
633,4,9
634,4,9
635,4,9
636,4,9
637,4,9
638,4,9
639,4,9
640,4,9
641,4,9
642,4,9
643,4,9
644,4,9
645,4,9
646,4,9
647,4,9
648,4,9
649,4,9
650,4,9
651,4,9
652,4,9
653,4,9
654,4,9
655,4,9
656,4,9
657,4,9
658,4,9
659,4,9
660,4,9
661,4,9
662,4,9
663,4,9
664,4,9
665,4,9
666,4,9
667,4,9
668,4,9
669,4,10
670,4,10
671,4,10
672,4,10
673,4,10
674,4,10
675,4,10
676,4,10
677,4,10
678,4,10
679,4,10
680,4,10
681,4,10
682,4,10
683,4,10
684,4,10
685,4,10
686,4,10
687,4,10
688,4,10
689,4,10
690,5,1
691,5,1
692,5,1
693,5,1
694,5,1
695,5,1
696,5,1
697,5,1
698,5,1
699,5,1
700,5,1
701,5,1
702,5,1
703,5,1
704,5,2
705,5,2
706,5,2
707,5,2
708,5,2
709,5,2
710,5,2
711,5,2
712,5,2
713,5,2
714,5,2
715,5,2
716,5,2
717,5,2
718,5,2
719,5,2
720,5,2
721,5,2
722,5,2
723,5,2
724,5,2
725,5,2
726,5,2
727,5,2
728,5,3
729,5,3
730,5,3
731,5,3
732,5,3
733,5,3
734,5,3
735,5,3
736,5,5
737,5,5
738,5,5
739,5,5
740,5,5
741,5,5
742,5,5
743,5,5
744,5,5
745,5,5
746,5,5
747,5,5
748,5,5
749,5,5
750,5,5
751,5,5
752,5,5
753,5,5
754,5,5
755,5,5
756,5,5
757,5,5
758,5,5
759,5,5
760,5,5
761,5,5
762,5,5
763,5,5
764,5,5
765,5,5
766,5,5
767,5,5
768,5,5
769,5,5
770,5,5
771,5,6
772,5,6
773,5,6
774,5,6
775,5,6
776,5,6
777,5,6
778,5,6
779,5,6
780,5,6
781,5,6
782,5,6
783,5,6
784,5,6
785,5,6
786,5,6
787,5,6
788,5,6
789,5,6
790,5,6
791,5,7
792,5,7
793,5,7
794,5,7
795,5,7
796,5,7
797,5,7
798,5,7
799,5,7
800,5,7
801,5,7
802,5,7
803,5,7
804,5,7
805,5,7
806,5,7
807,5,7
808,5,7
809,5,7
810,5,7
811,5,7
812,5,7
813,5,7
814,5,7
815,5,7
816,5,7
817,5,7
818,5,7
819,5,7
820,5,7
821,5,7
822,5,7
823,5,7
824,5,7
825,5,7
826,5,7
827,5,7
828,5,7
829,5,7
830,5,7
831,5,7
832,5,7
833,5,7
834,5,7
835,5,7
836,5,7
837,5,7
838,5,7
839,5,7
840,5,7
841,5,7
842,5,7
843,5,7
844,5,7
845,5,7
846,5,7
847,5,7
848,5,7
849,5,7
850,5,8
851,5,8
852,5,8
853,5,8
854,5,8
855,5,8
856,5,8
857,5,8
858,5,8
859,5,8
860,5,8
861,5,8
862,5,8
863,5,8
864,5,8
865,5,8
866,5,8
867,5,8
868,5,8
869,5,9
870,5,9
871,5,9
872,5,9
873,5,9
874,5,9
875,5,9
876,5,9
877,5,9
878,5,9
879,5,9
880,5,9
881,5,9
882,5,9
883,5,9
884,5,9
885,5,9
886,5,9
887,5,9
888,5,9
889,5,9
890,5,9
891,5,9
892,5,9
893,5,9
894,5,9
895,5,9
896,5,9
897,5,9
898,5,9
899,5,9
900,5,9
901,5,9
902,5,9
903,5,9
904,5,9
905,5,9
906,5,9
907,5,9
908,5,9
909,5,9
910,5,9
911,5,9
912,5,9
913,5,9
914,5,9
915,5,9
916,5,10
917,5,10
918,5,10
919,5,10
920,5,10
921,5,10
922,5,10
923,5,10
924,5,10
925,5,10
926,5,10
927,5,10
928,5,10
929,5,10
930,5,10
931,5,10
932,5,10
933,5,10
934,5,10
935,5,10
936,5,10
937,6,1
938,6,1
939,6,1
940,6,1
941,6,2
942,6,2
943,6,2
944,6,2
945,6,2
946,6,2
947,6,2
948,6,2
949,6,2
950,6,3
951,6,3
952,6,3
953,6,3
954,6,3
955,6,3
956,6,3
957,6,3
958,6,3
959,6,3
960,6,3
961,6,3
962,6,3
963,6,3
964,6,3
965,6,3
966,6,3
967,6,3
968,6,3
969,6,3
970,6,3
971,6,4
972,6,4
973,6,4
974,6,4
975,6,4
976,6,4
977,6,5
978,6,5
979,6,5
980,6,5
981,6,5
982,6,5
983,6,5
984,6,5
985,6,5
986,6,5
987,6,5
988,6,5
989,6,5
990,6,5
991,6,5
992,6,5
993,6,5
994,6,5
995,6,5
996,6,5
997,6,5
998,6,5
999,6,5
1000,6,5
1001,6,5
1002,6,5
1003,6,5
1004,6,5
1005,6,5
1006,6,5
1007,6,5
1008,6,5
1009,6,5
1010,6,5
1011,6,5
1012,6,5
1013,6,5
1014,6,5
1015,6,5
1016,6,5
1017,6,6
1018,6,6
1019,6,6
1020,6,6
1021,6,6
1022,6,6
1023,6,6
1024,6,6
1025,6,6
1026,6,6
1027,6,6
1028,6,6
1029,6,7
1030,6,7
1031,6,7
1032,6,7
1033,6,7
1034,6,7
1035,6,7
1036,6,7
1037,6,7
1038,6,7
1039,6,7
1040,6,7
1041,6,7
1042,6,7
1043,6,7
1044,6,7
1045,6,7
1046,6,7
1047,6,7
1048,6,7
1049,6,7
1050,6,7
1051,6,7
1052,6,7
1053,6,7
1054,6,7
1055,6,7
1056,6,7
1057,6,7
1058,6,8
1059,6,8
1060,6,8
1061,6,8
1062,6,8
1063,6,8
1064,6,8
1065,6,8
1066,6,9
1067,6,9
1068,6,9
1069,6,9
1070,6,9
1071,6,9
1072,6,9
1073,6,9
1074,6,9
1075,6,9
1076,6,9
1077,6,9
1078,6,9
1079,6,9
1080,6,9
1081,6,9
1082,6,9
1083,6,9
1084,6,9
1085,6,9
1086,6,9
1087,6,9
1088,6,9
1089,6,9
1090,6,9
1091,6,9
1092,6,9
1093,6,9
1094,6,9
1095,6,9
1096,6,9
1097,6,9
1098,6,9
1099,6,9
1100,6,9
1101,6,9
1102,6,9
1103,6,9
1104,6,10
1105,6,10
1106,6,10
1107,6,10
1108,6,10
1109,6,10
1110,6,10
1111,6,10
1112,6,10
1113,7,1
1114,7,2
1115,7,2
1116,7,2
1117,7,2
1118,7,2
1119,7,2
1120,7,2
1121,7,2
1122,7,2
1123,7,2
1124,7,2
1125,7,2
1126,7,2
1127,7,2
1128,7,2
1129,7,2
1130,7,2
1131,7,2
1132,7,2
1133,7,2
1134,7,2
1135,7,2
1136,7,2
1137,7,2
1138,7,2
1139,7,2
1140,7,2
1141,7,3
1142,7,3
1143,7,3
1144,7,3
1145,7,3
1146,7,3
1147,7,3
1148,7,3
1149,7,3
1150,7,3
1151,7,3
1152,7,3
1153,7,3
1154,7,3
1155,7,3
1156,7,3
1157,7,3
1158,7,3
1159,7,3
1160,7,3
1161,7,3
1162,7,3
1163,7,3
1164,7,3
1165,7,3
1166,7,3
1167,7,3
1168,7,3
1169,7,3
1170,7,3
1171,7,3
1172,7,3
1173,7,3
1174,7,3
1175,7,3
1176,7,3
1177,7,4
1178,7,4
1179,7,4
1180,7,4
1181,7,4
1182,7,4
1183,7,4
1184,7,4
1185,7,4
1186,7,4
1187,7,4
1188,7,4
1189,7,4
1190,7,5
1191,7,5
1192,7,5
1193,7,5
1194,7,5
1195,7,5
1196,7,5
1197,7,5
1198,7,5
1199,7,5
1200,7,5
1201,7,5
1202,7,5
1203,7,5
1204,7,5
1205,7,5
1206,7,5
1207,7,5
1208,7,5
1209,7,5
1210,7,5
1211,7,5
1212,7,5
1213,7,5
1214,7,5
1215,7,5
1216,7,5
1217,7,5
1218,7,6
1219,7,6
1220,7,7
1221,7,7
1222,7,7
1223,7,7
1224,7,7
1225,7,7
1226,7,7
1227,7,7
1228,7,7
1229,7,7
1230,7,7
1231,7,7
1232,7,7
1233,7,7
1234,7,7
1235,7,7
1236,7,7
1237,7,7
1238,7,7
1239,7,7
1240,7,7
1241,7,8
1242,7,8
1243,7,8
1244,7,8
1245,7,8
1246,7,8
1247,7,8
1248,7,8
1249,7,8
1250,7,8
1251,7,8
1252,7,8
1253,7,8
1254,7,8
1255,7,8
1256,7,8
1257,7,8
1258,7,8
1259,7,9
1260,7,9
1261,7,9
1262,7,9
1263,7,9
1264,7,9
1265,7,9
1266,7,9
1267,7,9
1268,7,9
1269,7,9
1270,7,9
1271,7,9
1272,7,9
1273,7,9
1274,7,9
1275,7,9
1276,7,9
1277,7,9
1278,7,9
1279,7,9
1280,7,9
1281,7,9
1282,7,9
1283,7,9
1284,7,9
1285,7,9
1286,7,9
1287,7,9
1288,7,10
1289,7,10
1290,7,10
1291,7,10
1292,7,10
1293,7,10
1294,7,10
1295,7,10
1296,7,10
1297,7,10
1298,7,10
1299,7,10
1300,7,10
1301,7,10
1302,7,10
1303,7,10
1304,7,10
1305,7,10
1306,7,10
1307,7,10
1308,7,10
1309,7,10
1310,7,10
1311,7,10
1312,7,10
1313,8,1
1314,8,1
1315,8,1
1316,8,1
1317,8,1
1318,8,1
1319,8,1
1320,8,1
1321,8,2
1322,8,2
1323,8,2
1324,8,2
1325,8,2
1326,8,2
1327,8,2
1328,8,2
1329,8,2
1330,8,2
1331,8,2
1332,8,2
1333,8,2
1334,8,2
1335,8,2
1336,8,2
1337,8,2
1338,8,2
1339,8,2
1340,8,2
1341,8,2
1342,8,2
1343,8,3
1344,8,3
1345,8,3
1346,8,3
1347,8,3
1348,8,3
1349,8,3
1350,8,3
1351,8,3
1352,8,3
1353,8,3
1354,8,3
1355,8,3
1356,8,3
1357,8,3
1358,8,3
1359,8,3
