artwork id,expression,type
1,clear,0
1,realistic,0
1,dark,6
1,female,5
1,outline,0
1,blurred,1
1,dark,6
1,grassy background,1
1,cold,0
1,dark,0
1,long,2
1,straight,2
1,smooth,1
1,shiny,6
1,attractive,0
1,female,5
1,trees,5
1,animals,5
1,branches,5
1,beauty,5
1,empty,3
1,clean,3
1,no jewels,3
1,skin,5
1,dark,6
1,classic,0
1,garment,5
1,covering the body,3
1,silk,5
1,maternal,0
1,woman,5
1,body part,5
1,resting,4
1,clean,0
1,resembles a hill or mountain,5
1,embroidered,3
1,fabric,5
1,arm,5
1,clothing,5
1,wood,5
1,feminine,0
1,body part,5
1,woman,5
1,hand,5
1,clothing,5
1,background,5
1,trees,5
1,fresh,0
1,tasty,0
1,background,5
1,water,5
1,leaves,5
1,branch,5
1,roots,5
1,nature,5
1,background,5
1,bushes,5
1,wrinkles,5
1,face,5
1,fingers,5
1,arm,5
1,body,5
1,anatomy,5
1,soft,1
1,clean,0
1,female,5
1,outline,5
1,body part,5
1,woman,5
1,mona lisa,5
1,murky,1
1,bodied of water between land mass,5
1,lace,5
1,clothes decoration,5
1,neckline,5
1,background,5
1,dirt,5
1,fragile,3
1,crossed,3
1,body part,5
1,a colletive of background scenery of trees or a forest,5
1,third finger,5
1,second finger,5
1,fourth finger,5
1,second finger,5
1,third finger,5
1,clear,0
1,realistic,0
1,female,5
1,background,5
1,arches,5
1,smile,4
1,enigmatic,0
1,lips,5
1,close,3
1,fourth finger,5
1,finger,5
1,moon shaped,2
1,moon shaped,2
1,round,2
1,round,2
2,dark,6
2,triangular,3
2,smooth,1
2,city,5
2,horizontal,2
2,striped,2
2,swirly,2
2,dashed,2
2,breeze,5
2,gust,5
2,circular shape,2
2,smooth,1
2,city,5
2,shining,6
2,brush strokes,1
2,pale,3
2,glow of the moon,6
2,moody,1
2,night sky,5
2,hill,5
2,mountain,5
2,mound,5
2,obstructed,3
2,dark,6
2,uneven,3
2,dark,6
2,discontinuous,3
2,water like,1
2,curly,2
2,light,6
2,heat,0
2,night,5
2,star,5
2,steeple,5
2,tall,2
2,simple,0
2,brush strokes,1
2,dark,6
2,round,2
2,bushy,1
2,round,2
2,background,5
2,sky,5
2,shining,6
2,night sky,5
2,oil paint,1
2,light,6
2,heat,0
2,space,5
2,dark,6
2,rural,0
2,background,5
2,village,5
2,leaf,5
2,windows,5
2,pointed roof,2
2,dark,6
2,rural,0
2,village,5
2,i am not sure but looks good,0
2,round,2
2,painting,5
2,smooth,1
2,triangles,2
2,two visible windows,5
2,city,5
2,round,2
2,background,5
2,sky,5
2,round,2
2,dark,6
2,dark,6
2,dwelling,5
2,sleep,0
2,round shape,2
2,city,5
2,round,2
2,background,5
2,sky,5
2,triangular,2
2,glowing,6
2,shining,6
2,pale,3
2,magical,0
2,round,2
2,simple,0
2,sky,5
2,little,2
2,lit,6
2,unclear,0
2,distant,0
2,bluish,0
2,next to church,0
2,comfort,0
2,home,5
2,round,2
2,round,2
2,comfort,0
2,home,5
2,triangle,2
2,smooth,1
2,city,5
2,triangular,2
2,obscured partially,3
2,comfort,0
2,sweet,0
2,home,5
2,partial,3
2,near tree,0
2,red striped roof,5
2,dark,6
2,wooden made,1
2,glass,5
2,comfort,0
2,home,5
2,dark,6
2,wooden made,1
2,rectangular,2
2,dark,6
2,distant,0
2,wooden like,1
2,lit,6
2,distant,0
2,wooden like,1
2,deep gold,8
4,shadows,0
4,female dress,5
4,headwear,5
4,keeps hair in place,0
4,cloth,5
4,head wrap,5
4,silk dress or gown,5
4,facing viewer,4
4,covered by dress,3
4,smile,4
4,pointed nose,2
4,famous person,5
4,portrait,0
4,focus of the painting,0
4,relaxed,4
4,hat,5
4,body part,5
4,girl,5
4,darker,6
4,binding,3
4,cloth,5
4,soft,1
4,cloth,5
4,face,5
4,girl,5
4,head,5
4,skin,5
4,girl,5
4,body part,5
4,jaw,5
4,female,5
4,turned,4
4,slim,2
4,turned,3
4,cheekbone,5
4,smooth,1
4,female,5
4,smile,4
4,cotten,1
4,female,5
4,lips,5
4,semi opened,4
4,smile,4
4,open,3
4,jewel,5
4,silver,8
4,round,2
4,shines,6
4,attractive,0
4,full,3
4,smooth,1
4,soft,1
4,soft,1
4,dark,6
4,staring,4
4,dark,6
4,staring,4
4,thin,2
4,thin,2
4,round,2
4,smile,4
5,confuse,3
5,looking,4
5,surprise,3
5,walking,4
5,looking,4
5,adult,5
5,curious,3
5,big,2
5,confuse,3
5,anguish,3
5,sadness,3
5,despair,3
5,death,0
5,heart break,4
5,turmoil,0
5,surprise,4
5,big eye,5
5,angry,3
5,mean,4
5,strong,0
5,scared,3
5,mouth open,4
5,scared,3
5,rectangular,2
5,monochrome,0
5,tilted,3
5,worried,3
5,scared,3
5,tear drop shaped,2
5,anguish,3
5,death,0
5,darkness,6
5,disturbing,4
5,beheaded,3
5,severed,3
5,eye shaped,2
5,spiky edges,2
5,broken,3
5,damaged,3
5,shattered,3
5,broken dagger,3
5,pale,3
5,square,2
5,centrally positioned,2
5,bricks,5
5,hair,5
5,flowing,4
5,thick,2
5,bushy,1
5,angular,2
5,monochrome,0
5,arm,5
5,body,5
5,anatomy,5
5,foot,5
5,toes,5
5,shaded,6
5,extended,2
5,wiry,2
5,horse tail,5
5,full of lines,2
5,strange shape,2
5,extended in the floor,2
5,abstract,3
5,big,2
5,dead,0
5,overturned,3
5,children,5
5,quadrilateral,2
5,rectangle,2
5,open,3
5,toothy,0
5,screaming,4
5,rectangular,2
5,painful,3
5,twisted,3
5,teeth,5
5,pointy,2
5,spike,5
5,horse,5
5,foot,5
5,metal,5
5,tilted,3
5,nose,5
5,bull,5
5,2d,0
