"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"1.jpg","art","The MIT-CSAIL database of objects and scenes","LabelMe Webtool","test","1","0","no","","","","30-Jun-2019 18:13:15","0","test","459","426","",""
"","","","","","","","","","","","","","","461","586","",""
"","","","","","","","","","","","","","","573","573","",""
"","","","","","","","","","","","","","","573","417","",""
"","","","","tet","1","0","no","","","","30-Jun-2019 18:14:07","1","test","338","86","",""
"","","","","","","","","","","","","","","338","233","",""
"","","","","","","","","","","","","","","463","208","",""
"","","","","","","","","","","","","","","463","140","",""
"","","","","test","1","0","no","","","","30-Jun-2019 18:15:38","2","test","228","331","",""
"","","","","","","","","","","","","","","228","427","",""
"","","","","","","","","","","","","","","329","404","",""
"","","","","","","","","","","","","","","329","334","",""
"","","","","point","1","0","","female","","","25-Jul-2019 09:07:07","3","WorkerID","355","268","",""
"","","","","point","0","0","","nose","","","25-Jul-2019 09:09:36","4","WorkerID","343","284","",""
"","","","","","","","","","","","","","","322","343","",""
"","","","","","","","","","","","","","","345","356","",""
"","","","","","","","","","","","","","","383","347","",""
"","","","","point","0","0","","right eyes","","","25-Jul-2019 09:09:55","5","WorkerID","358","251","",""
"","","","","","","","","","","","","","","421","244","",""
"","","","","","","","","","","","","","","446","266","",""
"","","","","","","","","","","","","","","428","291","",""
"","","","","","","","","","","","","","","374","291","",""
"","","","","","","","","","","","","","","360","278","",""
"","","","","point","0","0","","left eyes","","","25-Jul-2019 09:10:12","6","WorkerID","289","260","",""
"","","","","","","","","","","","","","","331","257","",""
"","","","","","","","","","","","","","","349","278","",""
"","","","","","","","","","","","","","","340","293","",""
"","","","","","","","","","","","","","","316","298","",""
"","","","","","","","","","","","","","","289","298","",""
"","","","","","","","","","","","","","","280","282","",""
"","","","","","","","","","","","","","","280","280","",""
"","","","","point","0","0","","face","","","25-Jul-2019 09:10:39","7","WorkerID","304","157","",""
"","","","","","","","","","","","","","","405","152","",""
"","","","","","","","","","","","","","","477","251","",""
"","","","","","","","","","","","","","","486","401","",""
"","","","","","","","","","","","","","","416","430","",""
"","","","","","","","","","","","","","","354","443","",""
"","","","","","","","","","","","","","","293","383","",""
"","","","","","","","","","","","","","","278","318","",""
"","","","","","","","","","","","","","","273","237","",""
"","","","","point","0","0","","neck","","","25-Jul-2019 09:11:01","8","WorkerID","351","457","",""
"","","","","","","","","","","","","","","493","421","",""
"","","","","","","","","","","","","","","506","490","",""
"","","","","","","","","","","","","","","470","593","",""
"","","","","","","","","","","","","","","412","647","",""
"","","","","","","","","","","","","","","329","629","",""
"","","","","","","","","","","","","","","266","602","",""
"","","","","","","","","","","","","","","273","569","",""
"","","","","","","","","","","","","","","329","472","",""
"","","","","point","0","0","","human","","","25-Jul-2019 09:12:40","9","WorkerID","11","900","",""
"","","","","","","","","","","","","","","47","815","",""
"","","","","","","","","","","","","","","87","777","",""
"","","","","","","","","","","","","","","148","678","",""
"","","","","","","","","","","","","","","159","627","",""
"","","","","","","","","","","","","","","231","564","",""
"","","","","","","","","","","","","","","257","475","",""
"","","","","","","","","","","","","","","248","407","",""
"","","","","","","","","","","","","","","235","331","",""
"","","","","","","","","","","","","","","240","302","",""
"","","","","","","","","","","","","","","251","246","",""
"","","","","","","","","","","","","","","262","199","",""
"","","","","","","","","","","","","","","293","148","",""
"","","","","","","","","","","","","","","331","121","",""
"","","","","","","","","","","","","","","381","105","",""
"","","","","","","","","","","","","","","423","105","",""
"","","","","","","","","","","","","","","470","130","",""
"","","","","","","","","","","","","","","508","170","",""
"","","","","","","","","","","","","","","537","240","",""
"","","","","","","","","","","","","","","555","356","",""
"","","","","","","","","","","","","","","573","477","",""
"","","","","","","","","","","","","","","616","522","",""
"","","","","","","","","","","","","","","678","587","",""
"","","","","","","","","","","","","","","723","665","",""
"","","","","","","","","","","","","","","752","757","",""
"","","","","","","","","","","","","","","757","844","",""
"","","","","","","","","","","","","","","757","951","",""
"","","","","","","","","","","","","","","757","1059","",""
"","","","","","","","","","","","","","","750","1092","",""
"","","","","","","","","","","","","","","609","1092","",""
"","","","","","","","","","","","","","","358","1092","",""
"","","","","","","","","","","","","","","76","1092","",""
"","","","","","","","","","","","","","","0","1090","",""
"","","","","mountain","0","0","","dark","","","25-Jul-2019 09:20:57","10","A2E9KS4RK6T8CW","105","327","",""
"","","","","hand","0","0","","pale","","","25-Jul-2019 09:21:10","11","A2E9KS4RK6T8CW","309","972","",""
"","","","","","","","","","","","","","","334","975","",""
"","","","","","","","","","","","","","","334","975","",""
"","","","","hand","0","0","","pale","","","25-Jul-2019 09:21:29","12","A2E9KS4RK6T8CW","294","995","",""
"","","","","","","","","","","","","","","539","886","",""
"","","","","","","","","","","","","","","539","886","",""
"","","","","","","","","","","","","","","539","886","",""
"","","","","sky","0","0","","night","","","25-Jul-2019 09:22:25","13","A2E9KS4RK6T8CW","697","171","",""
"","","","","hill","0","0","","beautiful","","","25-Jul-2019 09:22:48","14","A2E9KS4RK6T8CW","61","590","",""
"","","","","river","0","0","","great","","","25-Jul-2019 09:23:06","15","A2E9KS4RK6T8CW","748","419","",""
"","","","","mouth","0","0","","smile, enigmatic, lips, close","","","25-Jul-2019 09:31:00","16","AIN29LNXRARXY","328","365","",""
"","","","","","","","","","","","","","","346","367","",""
"","","","","","","","","","","","","","","356","371","",""
"","","","","","","","","","","","","","","372","368","",""
"","","","","","","","","","","","","","","379","368","",""
"","","","","","","","","","","","","","","396","361","",""
"","","","","","","","","","","","","","","389","370","",""
"","","","","","","","","","","","","","","381","377","",""
"","","","","","","","","","","","","","","369","381","",""
"","","","","","","","","","","","","","","360","383","",""
"","","","","","","","","","","","","","","350","383","",""
"","","","","","","","","","","","","","","339","381","",""
"","","","","","","","","","","","","","","329","378","",""
"","","","","","","","","","","","","","","326","374","",""
"","","","","bridge","0","0","","right side, background, arches","","","25-Jul-2019 09:32:55","17","AIN29LNXRARXY","641","541","",""
"","","","","","","","","","","","","","","658","540","",""
"","","","","","","","","","","","","","","684","540","",""
"","","","","","","","","","","","","","","708","538","",""
"","","","","","","","","","","","","","","734","535","",""
"","","","","","","","","","","","","","","727","544","",""
"","","","","","","","","","","","","","","708","555","",""
"","","","","","","","","","","","","","","703","553","",""
"","","","","","","","","","","","","","","701","548","",""
"","","","","","","","","","","","","","","690","548","",""
"","","","","","","","","","","","","","","691","553","",""
"","","","","","","","","","","","","","","684","555","",""
"","","","","","","","","","","","","","","682","554","",""
"","","","","","","","","","","","","","","680","548","",""
